date,temperature_max,temperature_min,precipitation,city,state
2020-01-01,30.0,24.8,5.6,Aracaju,SE
2020-01-02,30.6,25.2,0.4,Aracaju,SE
2020-01-03,30.5,25.4,0.1,Aracaju,SE
2020-01-04,30.7,26.1,0.0,Aracaju,SE
2020-01-05,29.3,25.0,0.5,Aracaju,SE
2020-01-06,30.4,24.9,0.0,Aracaju,SE
2020-01-07,30.7,25.5,0.2,Aracaju,SE
2020-01-08,30.5,24.7,1.0,Aracaju,SE
2020-01-09,30.0,24.0,1.4,Aracaju,SE
2020-01-10,30.5,24.6,1.2,Aracaju,SE
2020-01-11,30.6,25.3,0.6,Aracaju,SE
2020-01-12,30.5,25.0,1.1,Aracaju,SE
2020-01-13,30.9,25.0,0.6,Aracaju,SE
2020-01-14,31.1,25.6,0.0,Aracaju,SE
2020-01-15,30.9,25.9,0.0,Aracaju,SE
2020-01-16,30.9,25.6,0.3,Aracaju,SE
2020-01-17,31.0,26.2,0.2,Aracaju,SE
2020-01-18,31.0,24.9,1.3,Aracaju,SE
2020-01-19,30.6,24.5,2.6,Aracaju,SE
2020-01-20,30.9,25.1,0.9,Aracaju,SE
2020-01-21,31.1,25.0,0.0,Aracaju,SE
2020-01-22,32.6,26.0,2.4,Aracaju,SE
2020-01-23,28.2,25.8,9.0,Aracaju,SE
2020-01-24,30.7,25.5,0.1,Aracaju,SE
2020-01-25,30.7,26.4,0.0,Aracaju,SE
2020-01-26,31.5,26.4,1.0,Aracaju,SE
2020-01-27,31.1,25.4,2.1,Aracaju,SE
2020-01-28,30.9,25.9,0.6,Aracaju,SE
2020-01-29,30.9,25.8,0.9,Aracaju,SE
2020-01-30,30.0,24.8,3.3,Aracaju,SE
2020-01-31,30.3,24.9,2.1,Aracaju,SE
2020-02-01,30.4,25.1,1.3,Aracaju,SE
2020-02-02,31.7,25.5,1.4,Aracaju,SE
2020-02-03,30.9,25.0,6.3,Aracaju,SE
2020-02-04,29.5,25.0,10.1,Aracaju,SE
2020-02-05,30.0,24.9,6.3,Aracaju,SE
2020-02-06,29.2,24.2,2.7,Aracaju,SE
2020-02-07,30.0,25.4,2.5,Aracaju,SE
2020-02-08,31.2,24.8,1.3,Aracaju,SE
2020-02-09,31.0,26.2,0.1,Aracaju,SE
2020-02-10,30.9,26.1,0.5,Aracaju,SE
2020-02-11,31.3,26.5,0.3,Aracaju,SE
2020-02-12,31.1,26.1,1.4,Aracaju,SE
2020-02-13,31.0,24.8,2.9,Aracaju,SE
2020-02-14,30.9,26.9,1.5,Aracaju,SE
2020-02-15,31.7,26.2,0.3,Aracaju,SE
2020-02-16,30.9,24.5,1.8,Aracaju,SE
2020-02-17,30.8,25.1,2.9,Aracaju,SE
2020-02-18,31.1,25.2,4.1,Aracaju,SE
2020-02-19,31.3,26.0,0.8,Aracaju,SE
2020-02-20,31.5,26.4,0.4,Aracaju,SE
2020-02-21,31.5,25.3,0.2,Aracaju,SE
2020-02-22,32.2,25.2,0.5,Aracaju,SE
2020-02-23,32.0,25.8,0.6,Aracaju,SE
2020-02-24,31.5,26.8,1.8,Aracaju,SE
2020-02-25,31.9,26.5,0.8,Aracaju,SE
2020-02-26,31.0,25.2,2.3,Aracaju,SE
2020-02-27,32.0,25.5,0.1,Aracaju,SE
2020-02-28,32.2,26.2,0.8,Aracaju,SE
2020-02-29,30.6,25.6,1.8,Aracaju,SE
2020-03-01,31.5,26.2,0.4,Aracaju,SE
2020-03-02,31.5,24.3,0.3,Aracaju,SE
2020-03-03,31.6,25.9,0.2,Aracaju,SE
2020-03-04,32.2,26.5,0.3,Aracaju,SE
2020-03-05,33.7,26.1,0.0,Aracaju,SE
2020-03-06,32.7,26.9,0.2,Aracaju,SE
2020-03-07,31.3,25.6,6.1,Aracaju,SE
2020-03-08,31.5,26.0,0.1,Aracaju,SE
2020-03-09,31.5,26.4,1.4,Aracaju,SE
2020-03-10,31.8,25.0,0.1,Aracaju,SE
2020-03-11,30.5,25.2,3.6,Aracaju,SE
2020-03-12,30.9,25.4,1.5,Aracaju,SE
2020-03-13,31.3,25.0,3.1,Aracaju,SE
2020-03-14,31.1,25.5,2.5,Aracaju,SE
2020-03-15,31.1,25.4,3.2,Aracaju,SE
2020-03-16,28.7,24.8,8.3,Aracaju,SE
2020-03-17,31.2,24.6,8.7,Aracaju,SE
2020-03-18,31.8,24.6,2.4,Aracaju,SE
2020-03-19,30.4,24.5,10.4,Aracaju,SE
2020-03-20,32.0,25.5,7.9,Aracaju,SE
2020-03-21,33.2,25.6,2.5,Aracaju,SE
2020-03-22,34.5,25.5,1.1,Aracaju,SE
2020-03-23,32.0,24.5,11.9,Aracaju,SE
2020-03-24,29.6,24.7,8.6,Aracaju,SE
2020-03-25,28.7,24.5,7.5,Aracaju,SE
2020-03-26,27.4,24.7,6.9,Aracaju,SE
2020-03-27,28.5,24.9,5.7,Aracaju,SE
2020-03-28,30.0,24.5,4.0,Aracaju,SE
2020-03-29,27.7,24.8,20.9,Aracaju,SE
2020-03-30,29.6,25.3,2.1,Aracaju,SE
2020-03-31,29.6,24.6,2.2,Aracaju,SE
2020-04-01,29.8,25.1,1.9,Aracaju,SE
2020-04-02,29.9,24.8,0.0,Aracaju,SE
2020-04-03,29.8,26.2,0.3,Aracaju,SE
2020-04-04,31.6,25.2,0.0,Aracaju,SE
2020-04-05,30.7,25.9,0.2,Aracaju,SE
2020-04-06,30.5,25.5,1.6,Aracaju,SE
2020-04-07,29.8,24.9,1.6,Aracaju,SE
2020-04-08,30.2,24.8,0.0,Aracaju,SE
2020-04-09,30.9,24.4,0.0,Aracaju,SE
2020-04-10,30.7,25.5,0.4,Aracaju,SE
2020-04-11,31.0,25.9,0.5,Aracaju,SE
2020-04-12,30.6,25.6,0.2,Aracaju,SE
2020-04-13,30.3,25.9,0.8,Aracaju,SE
2020-04-14,31.0,26.9,0.1,Aracaju,SE
2020-04-15,30.6,24.2,0.6,Aracaju,SE
2020-04-16,30.5,26.2,2.8,Aracaju,SE
2020-04-17,29.6,25.1,3.9,Aracaju,SE
2020-04-18,28.5,25.0,15.4,Aracaju,SE
2020-04-19,28.5,24.5,10.7,Aracaju,SE
2020-04-20,29.5,24.4,2.3,Aracaju,SE
2020-04-21,29.5,24.9,0.7,Aracaju,SE
2020-04-22,29.9,23.5,7.9,Aracaju,SE
2020-04-23,27.1,23.8,48.1,Aracaju,SE
2020-04-24,28.9,24.8,12.6,Aracaju,SE
2020-04-25,28.8,24.2,11.8,Aracaju,SE
2020-04-26,28.9,24.0,6.2,Aracaju,SE
2020-04-27,28.4,24.2,6.5,Aracaju,SE
2020-04-28,28.2,24.1,8.8,Aracaju,SE
2020-04-29,28.4,24.0,3.9,Aracaju,SE
2020-04-30,28.8,23.5,1.0,Aracaju,SE
